"","felvetel.eve","Subject","method","Emotion","label","RT_mean"
"132",2015,108,"SD filtering","sad","Incongruent",442.166666666667
"133",2015,108,"threshold","angry","Congruent",439.842105263158
"134",2015,108,"threshold","angry","Incongruent",446.842105263158
"135",2015,108,"threshold","happy","Congruent",430.842105263158
"136",2015,108,"threshold","happy","Incongruent",434.105263157895
"137",2015,108,"threshold","sad","Congruent",448.736842105263
"138",2015,108,"threshold","sad","Incongruent",466.105263157895
"139",2015,108,"winsorizing","angry","Congruent",439.842105263158
"140",2015,108,"winsorizing","angry","Incongruent",444.473684210526
"141",2015,108,"winsorizing","happy","Congruent",430.842105263158
"142",2015,108,"winsorizing","happy","Incongruent",418.684210526316
"143",2015,108,"winsorizing","sad","Congruent",447.684210526316
"144",2015,108,"winsorizing","sad","Incongruent",450.473684210526
"145",2015,110,"SD filtering","angry","Congruent",385
"146",2015,110,"SD filtering","angry","Incongruent",373.157894736842
"147",2015,110,"SD filtering","happy","Congruent",395.526315789474
"148",2015,110,"SD filtering","happy","Incongruent",373.263157894737
"149",2015,110,"SD filtering","sad","Congruent",386.736842105263
"150",2015,110,"SD filtering","sad","Incongruent",387.666666666667
"151",2015,110,"threshold","angry","Congruent",385
"152",2015,110,"threshold","angry","Incongruent",378.388888888889
"153",2015,110,"threshold","happy","Congruent",395.526315789474
"154",2015,110,"threshold","happy","Incongruent",377.555555555556
"155",2015,110,"threshold","sad","Congruent",386.736842105263
"156",2015,110,"threshold","sad","Incongruent",421.368421052632
"157",2015,110,"winsorizing","angry","Congruent",385
"158",2015,110,"winsorizing","angry","Incongruent",373.157894736842
"159",2015,110,"winsorizing","happy","Congruent",395.526315789474
"160",2015,110,"winsorizing","happy","Incongruent",373.263157894737
"161",2015,110,"winsorizing","sad","Congruent",382.052631578947
"162",2015,110,"winsorizing","sad","Incongruent",395.052631578947
"163",2015,112,"SD filtering","angry","Congruent",439.294117647059
"164",2015,112,"SD filtering","angry","Incongruent",428.941176470588
"165",2015,112,"SD filtering","happy","Congruent",369.666666666667
"166",2015,112,"SD filtering","happy","Incongruent",386.882352941176
"167",2015,112,"SD filtering","sad","Congruent",449.058823529412
"168",2015,112,"SD filtering","sad","Incongruent",386.4375
"169",2015,112,"threshold","angry","Congruent",439.294117647059
"170",2015,112,"threshold","angry","Incongruent",464.714285714286
"171",2015,112,"threshold","happy","Congruent",382.8125
"172",2015,112,"threshold","happy","Incongruent",438.625
"173",2015,112,"threshold","sad","Congruent",460.125
"174",2015,112,"threshold","sad","Incongruent",433.6
"175",2015,112,"winsorizing","angry","Congruent",436.882352941176
"176",2015,112,"winsorizing","angry","Incongruent",416.235294117647
"177",2015,112,"winsorizing","happy","Congruent",369.666666666667
"178",2015,112,"winsorizing","happy","Incongruent",397.055555555556
"179",2015,112,"winsorizing","sad","Congruent",435.823529411765
"180",2015,112,"winsorizing","sad","Incongruent",395.588235294118
"181",2015,113,"SD filtering","angry","Congruent",358.736842105263
"182",2015,113,"SD filtering","angry","Incongruent",373.631578947368
"183",2015,113,"SD filtering","happy","Congruent",386.388888888889
"184",2015,113,"SD filtering","happy","Incongruent",349.473684210526
"185",2015,113,"SD filtering","sad","Congruent",353.444444444444
"186",2015,113,"SD filtering","sad","Incongruent",356.411764705882
"187",2015,113,"threshold","angry","Congruent",362.111111111111
"188",2015,113,"threshold","angry","Incongruent",378.055555555556
"189",2015,113,"threshold","happy","Congruent",411.222222222222
"190",2015,113,"threshold","happy","Incongruent",357.117647058824
"191",2015,113,"threshold","sad","Congruent",406.533333333333
"192",2015,113,"threshold","sad","Incongruent",400.055555555556
"193",2015,113,"winsorizing","angry","Congruent",358.736842105263
"194",2015,113,"winsorizing","angry","Incongruent",373.631578947368
"195",2015,113,"winsorizing","happy","Congruent",397.421052631579
"196",2015,113,"winsorizing","happy","Incongruent",349.473684210526
"197",2015,113,"winsorizing","sad","Congruent",366.210526315789
"198",2015,113,"winsorizing","sad","Incongruent",381.631578947368
"199",2015,114,"SD filtering","angry","Congruent",451.166666666667
"200",2015,114,"SD filtering","angry","Incongruent",487.166666666667
"201",2015,114,"SD filtering","happy","Congruent",596.210526315789
"202",2015,114,"SD filtering","happy","Incongruent",569.470588235294
"203",2015,114,"SD filtering","sad","Congruent",532.684210526316
"204",2015,114,"SD filtering","sad","Incongruent",502.166666666667
"205",2015,114,"threshold","angry","Congruent",528.842105263158
"206",2015,114,"threshold","angry","Incongruent",487.166666666667
"207",2015,114,"threshold","happy","Congruent",596.210526315789
"208",2015,114,"threshold","happy","Incongruent",569.470588235294
"209",2015,114,"threshold","sad","Congruent",532.684210526316
"210",2015,114,"threshold","sad","Incongruent",502.166666666667
"211",2015,114,"winsorizing","angry","Congruent",452.631578947368
"212",2015,114,"winsorizing","angry","Incongruent",483.666666666667
"213",2015,114,"winsorizing","happy","Congruent",486.947368421053
"214",2015,114,"winsorizing","happy","Incongruent",518.555555555556
"215",2015,114,"winsorizing","sad","Congruent",505.684210526316
"216",2015,114,"winsorizing","sad","Incongruent",478.555555555556
"217",2015,115,"SD filtering","angry","Congruent",388.315789473684
"218",2015,115,"SD filtering","angry","Incongruent",359.055555555556
"219",2015,115,"SD filtering","happy","Congruent",359.157894736842
"220",2015,115,"SD filtering","happy","Incongruent",383.526315789474
"221",2015,115,"SD filtering","sad","Congruent",361.052631578947
"222",2015,115,"SD filtering","sad","Incongruent",369.157894736842
"223",2015,115,"threshold","angry","Congruent",401.352941176471
"224",2015,115,"threshold","angry","Incongruent",460.75
"225",2015,115,"threshold","happy","Congruent",363.944444444444
"226",2015,115,"threshold","happy","Incongruent",396.117647058824
"227",2015,115,"threshold","sad","Congruent",369.823529411765
"228",2015,115,"threshold","sad","Incongruent",374.666666666667
"229",2015,115,"winsorizing","angry","Congruent",375.263157894737
"230",2015,115,"winsorizing","angry","Incongruent",369.210526315789
"231",2015,115,"winsorizing","happy","Congruent",359.157894736842
"232",2015,115,"winsorizing","happy","Incongruent",374.315789473684
"233",2015,115,"winsorizing","sad","Congruent",361.052631578947
"234",2015,115,"winsorizing","sad","Incongruent",369.157894736842
"235",2015,116,"SD filtering","angry","Congruent",422.631578947368
"236",2015,116,"SD filtering","angry","Incongruent",421.052631578947
"237",2015,116,"SD filtering","happy","Congruent",437.333333333333
"238",2015,116,"SD filtering","happy","Incongruent",400.052631578947
"239",2015,116,"SD filtering","sad","Congruent",451.210526315789
"240",2015,116,"SD filtering","sad","Incongruent",392.277777777778
"241",2015,116,"threshold","angry","Congruent",429.777777777778
"242",2015,116,"threshold","angry","Incongruent",421.052631578947
"243",2015,116,"threshold","happy","Congruent",471.368421052632
"244",2015,116,"threshold","happy","Incongruent",400.052631578947
"245",2015,116,"threshold","sad","Congruent",451.210526315789
"246",2015,116,"threshold","sad","Incongruent",398.058823529412
"247",2015,116,"winsorizing","angry","Congruent",422.631578947368
"248",2015,116,"winsorizing","angry","Incongruent",421.052631578947
"249",2015,116,"winsorizing","happy","Congruent",442.736842105263
"250",2015,116,"winsorizing","happy","Incongruent",400.052631578947
"251",2015,116,"winsorizing","sad","Congruent",449.736842105263
"252",2015,116,"winsorizing","sad","Incongruent",392.277777777778
"253",2015,117,"SD filtering","angry","Congruent",395.473684210526
"254",2015,117,"SD filtering","angry","Incongruent",381.210526315789
"255",2015,117,"SD filtering","happy","Congruent",393.25
"256",2015,117,"SD filtering","happy","Incongruent",364.105263157895
"257",2015,117,"SD filtering","sad","Congruent",387.944444444444
"258",2015,117,"SD filtering","sad","Incongruent",389.888888888889
"259",2015,117,"threshold","angry","Congruent",395.473684210526
"260",2015,117,"threshold","angry","Incongruent",387.111111111111
"261",2015,117,"threshold","happy","Congruent",490.111111111111
"262",2015,117,"threshold","happy","Incongruent",368.111111111111
"263",2015,117,"threshold","sad","Congruent",394.117647058824
"264",2015,117,"threshold","sad","Incongruent",413.631578947368
"265",2015,117,"winsorizing","angry","Congruent",395.473684210526
"266",2015,117,"winsorizing","angry","Incongruent",381.210526315789
"267",2015,117,"winsorizing","happy","Congruent",423.684210526316
"268",2015,117,"winsorizing","happy","Incongruent",364.105263157895
"269",2015,117,"winsorizing","sad","Congruent",385.333333333333
"270",2015,117,"winsorizing","sad","Incongruent",400.210526315789
"271",2015,118,"SD filtering","angry","Congruent",323.052631578947
"272",2015,118,"SD filtering","angry","Incongruent",315.833333333333
"273",2015,118,"SD filtering","happy","Congruent",326.055555555556
"274",2015,118,"SD filtering","happy","Incongruent",325.894736842105
"275",2015,118,"SD filtering","sad","Congruent",310
"276",2015,118,"SD filtering","sad","Incongruent",315.611111111111
"277",2015,118,"threshold","angry","Congruent",343.076923076923
"278",2015,118,"threshold","angry","Incongruent",376.714285714286
"279",2015,118,"threshold","happy","Congruent",338.428571428571
"280",2015,118,"threshold","happy","Incongruent",335.4375
"281",2015,118,"threshold","sad","Congruent",323.769230769231
"282",2015,118,"threshold","sad","Incongruent",326.461538461538
"283",2015,118,"winsorizing","angry","Congruent",323.052631578947
"284",2015,118,"winsorizing","angry","Incongruent",322.421052631579
"285",2015,118,"winsorizing","happy","Congruent",326.055555555556
"286",2015,118,"winsorizing","happy","Incongruent",325.894736842105
"287",2015,118,"winsorizing","sad","Congruent",310
"288",2015,118,"winsorizing","sad","Incongruent",315.611111111111
"289",2015,120,"SD filtering","angry","Congruent",381.526315789474
"290",2015,120,"SD filtering","angry","Incongruent",370
"291",2015,120,"SD filtering","happy","Congruent",376.473684210526
"292",2015,120,"SD filtering","happy","Incongruent",375.684210526316
"293",2015,120,"SD filtering","sad","Congruent",371.631578947368
"294",2015,120,"SD filtering","sad","Incongruent",391.894736842105
"295",2015,120,"threshold","angry","Congruent",387.944444444444
"296",2015,120,"threshold","angry","Incongruent",400.166666666667
"297",2015,120,"threshold","happy","Congruent",380.833333333333
"298",2015,120,"threshold","happy","Incongruent",375.684210526316
"299",2015,120,"threshold","sad","Congruent",371.631578947368
"300",2015,120,"threshold","sad","Incongruent",391.894736842105
"301",2015,120,"winsorizing","angry","Congruent",381.526315789474
"302",2015,120,"winsorizing","angry","Incongruent",389.894736842105
"303",2015,120,"winsorizing","happy","Congruent",376.473684210526
"304",2015,120,"winsorizing","happy","Incongruent",375.684210526316
"305",2015,120,"winsorizing","sad","Congruent",371.631578947368
"306",2015,120,"winsorizing","sad","Incongruent",391.894736842105
"307",2015,121,"SD filtering","angry","Congruent",392.263157894737
"308",2015,121,"SD filtering","angry","Incongruent",380.736842105263
"309",2015,121,"SD filtering","happy","Congruent",380.444444444444
"310",2015,121,"SD filtering","happy","Incongruent",367.263157894737
"311",2015,121,"SD filtering","sad","Congruent",403.842105263158
"312",2015,121,"SD filtering","sad","Incongruent",379.235294117647
"313",2015,121,"threshold","angry","Congruent",392.263157894737
"314",2015,121,"threshold","angry","Incongruent",380.736842105263
"315",2015,121,"threshold","happy","Congruent",391.894736842105
"316",2015,121,"threshold","happy","Incongruent",367.263157894737
"317",2015,121,"threshold","sad","Congruent",403.842105263158
"318",2015,121,"threshold","sad","Incongruent",398.352941176471
"319",2015,121,"winsorizing","angry","Congruent",392.263157894737
"320",2015,121,"winsorizing","angry","Incongruent",380.736842105263
"321",2015,121,"winsorizing","happy","Congruent",391.894736842105
"322",2015,121,"winsorizing","happy","Incongruent",367.263157894737
"323",2015,121,"winsorizing","sad","Congruent",403.842105263158
"324",2015,121,"winsorizing","sad","Incongruent",391.833333333333
"325",2015,122,"SD filtering","angry","Congruent",374.052631578947
"326",2015,122,"SD filtering","angry","Incongruent",326.631578947368
"327",2015,122,"SD filtering","happy","Congruent",370.263157894737
"328",2015,122,"SD filtering","happy","Incongruent",361.888888888889
"329",2015,122,"SD filtering","sad","Congruent",355.631578947368
"330",2015,122,"SD filtering","sad","Incongruent",344.947368421053
"331",2015,122,"threshold","angry","Congruent",388.875
"332",2015,122,"threshold","angry","Incongruent",338.25
"333",2015,122,"threshold","happy","Congruent",386.625
"334",2015,122,"threshold","happy","Incongruent",392.25
"335",2015,122,"threshold","sad","Congruent",377.466666666667
"336",2015,122,"threshold","sad","Incongruent",352.058823529412
"337",2015,122,"winsorizing","angry","Congruent",374.052631578947
"338",2015,122,"winsorizing","angry","Incongruent",326.631578947368
"339",2015,122,"winsorizing","happy","Congruent",370.263157894737
"340",2015,122,"winsorizing","happy","Incongruent",371.368421052632
"341",2015,122,"winsorizing","sad","Congruent",355.631578947368
"342",2015,122,"winsorizing","sad","Incongruent",344.947368421053
"343",2015,123,"SD filtering","angry","Congruent",442.888888888889
"344",2015,123,"SD filtering","angry","Incongruent",451.578947368421
"345",2015,123,"SD filtering","happy","Congruent",465.222222222222
"346",2015,123,"SD filtering","happy","Incongruent",450.368421052632
"347",2015,123,"SD filtering","sad","Congruent",438.421052631579
"348",2015,123,"SD filtering","sad","Incongruent",462.157894736842
"349",2015,123,"threshold","angry","Congruent",500.105263157895
"350",2015,123,"threshold","angry","Incongruent",451.578947368421
"351",2015,123,"threshold","happy","Congruent",465.222222222222
"352",2015,123,"threshold","happy","Incongruent",458.777777777778
"353",2015,123,"threshold","sad","Congruent",438.421052631579
"354",2015,123,"threshold","sad","Incongruent",462.157894736842
"355",2015,123,"winsorizing","angry","Congruent",445.526315789474
"356",2015,123,"winsorizing","angry","Incongruent",451.578947368421
"357",2015,123,"winsorizing","happy","Congruent",455
"358",2015,123,"winsorizing","happy","Incongruent",448.842105263158
"359",2015,123,"winsorizing","sad","Congruent",430.947368421053
"360",2015,123,"winsorizing","sad","Incongruent",444.421052631579
"361",2015,124,"SD filtering","angry","Congruent",361.058823529412
"362",2015,124,"SD filtering","angry","Incongruent",357.352941176471
"363",2015,124,"SD filtering","happy","Congruent",388.842105263158
"364",2015,124,"SD filtering","happy","Incongruent",350.947368421053
"365",2015,124,"SD filtering","sad","Congruent",354.842105263158
"366",2015,124,"SD filtering","sad","Incongruent",369.684210526316
"367",2015,124,"threshold","angry","Congruent",388.352941176471
"368",2015,124,"threshold","angry","Incongruent",405
"369",2015,124,"threshold","happy","Congruent",395.111111111111
"370",2015,124,"threshold","happy","Incongruent",354.611111111111
"371",2015,124,"threshold","sad","Congruent",359
"372",2015,124,"threshold","sad","Incongruent",369.684210526316
"373",2015,124,"winsorizing","angry","Congruent",374.722222222222
"374",2015,124,"winsorizing","angry","Incongruent",383.631578947368
"375",2015,124,"winsorizing","happy","Congruent",387.368421052632
"376",2015,124,"winsorizing","happy","Incongruent",350.947368421053
"377",2015,124,"winsorizing","sad","Congruent",354.842105263158
"378",2015,124,"winsorizing","sad","Incongruent",369.684210526316
"379",2015,125,"SD filtering","angry","Congruent",372.526315789474
"380",2015,125,"SD filtering","angry","Incongruent",359.529411764706
"381",2015,125,"SD filtering","happy","Congruent",356.555555555556
"382",2015,125,"SD filtering","happy","Incongruent",360.117647058824
"383",2015,125,"SD filtering","sad","Congruent",377.526315789474
"384",2015,125,"SD filtering","sad","Incongruent",387.947368421053
"385",2015,125,"threshold","angry","Congruent",372.526315789474
"386",2015,125,"threshold","angry","Incongruent",415.235294117647
"387",2015,125,"threshold","happy","Congruent",407.6875
"388",2015,125,"threshold","happy","Incongruent",389.882352941176
"389",2015,125,"threshold","sad","Congruent",377.526315789474
"390",2015,125,"threshold","sad","Incongruent",387.947368421053
"391",2015,125,"winsorizing","angry","Congruent",372.526315789474
"392",2015,125,"winsorizing","angry","Incongruent",379.052631578947
"393",2015,125,"winsorizing","happy","Congruent",366.473684210526
"394",2015,125,"winsorizing","happy","Incongruent",370.388888888889
"395",2015,125,"winsorizing","sad","Congruent",377.526315789474
"396",2015,125,"winsorizing","sad","Incongruent",387.947368421053
"397",2015,126,"SD filtering","angry","Congruent",441.473684210526
"398",2015,126,"SD filtering","angry","Incongruent",409
"399",2015,126,"SD filtering","happy","Congruent",449.588235294118
"400",2015,126,"SD filtering","happy","Incongruent",426.473684210526
"401",2015,126,"SD filtering","sad","Congruent",424.631578947368
"402",2015,126,"SD filtering","sad","Incongruent",422.210526315789
"403",2015,126,"threshold","angry","Congruent",441.473684210526
"404",2015,126,"threshold","angry","Incongruent",415.055555555556
"405",2015,126,"threshold","happy","Congruent",464
"406",2015,126,"threshold","happy","Incongruent",426.473684210526
"407",2015,126,"threshold","sad","Congruent",424.631578947368
"408",2015,126,"threshold","sad","Incongruent",430.166666666667
"409",2015,126,"winsorizing","angry","Congruent",441.473684210526
"410",2015,126,"winsorizing","angry","Incongruent",409
"411",2015,126,"winsorizing","happy","Congruent",457.722222222222
"412",2015,126,"winsorizing","happy","Incongruent",426.473684210526
"413",2015,126,"winsorizing","sad","Congruent",424.631578947368
"414",2015,126,"winsorizing","sad","Incongruent",422.210526315789
"415",2015,127,"SD filtering","angry","Congruent",1505.33333333333
"416",2015,127,"SD filtering","angry","Incongruent",1131.88888888889
"417",2015,127,"SD filtering","happy","Congruent",765.444444444444
"418",2015,127,"SD filtering","happy","Incongruent",1323.66666666667
"419",2015,127,"SD filtering","sad","Congruent",1209.66666666667
"420",2015,127,"SD filtering","sad","Incongruent",1103.3125
"421",2015,127,"threshold","angry","Congruent",863.75
"422",2015,127,"threshold","angry","Incongruent",804.0625
"423",2015,127,"threshold","happy","Congruent",765.444444444444
"424",2015,127,"threshold","happy","Incongruent",713.333333333333
"425",2015,127,"threshold","sad","Congruent",734.928571428571
"426",2015,127,"threshold","sad","Incongruent",891.642857142857
"427",2015,127,"winsorizing","angry","Congruent",559.375
"428",2015,127,"winsorizing","angry","Incongruent",577.555555555556
"429",2015,127,"winsorizing","happy","Congruent",551.210526315789
"430",2015,127,"winsorizing","happy","Incongruent",543.733333333333
"431",2015,127,"winsorizing","sad","Congruent",580.315789473684
"432",2015,127,"winsorizing","sad","Incongruent",582.352941176471
"433",2015,128,"SD filtering","angry","Congruent",854.473684210526
"434",2015,128,"SD filtering","angry","Incongruent",679.421052631579
"435",2015,128,"SD filtering","happy","Congruent",808.052631578947
"436",2015,128,"SD filtering","happy","Incongruent",786.631578947368
"437",2015,128,"SD filtering","sad","Congruent",740.777777777778
"438",2015,128,"SD filtering","sad","Incongruent",706
"439",2015,128,"threshold","angry","Congruent",854.473684210526
"440",2015,128,"threshold","angry","Incongruent",679.421052631579
"441",2015,128,"threshold","happy","Congruent",808.052631578947
"442",2015,128,"threshold","happy","Incongruent",786.631578947368
"443",2015,128,"threshold","sad","Congruent",740.777777777778
"444",2015,128,"threshold","sad","Incongruent",706
"445",2015,128,"winsorizing","angry","Congruent",578.789473684211
"446",2015,128,"winsorizing","angry","Incongruent",561.263157894737
"447",2015,128,"winsorizing","happy","Congruent",587.052631578947
"448",2015,128,"winsorizing","happy","Incongruent",585.315789473684
"449",2015,128,"winsorizing","sad","Congruent",592.052631578947
"450",2015,128,"winsorizing","sad","Incongruent",563.315789473684
"451",2015,129,"SD filtering","angry","Congruent",365.421052631579
"452",2015,129,"SD filtering","angry","Incongruent",378.722222222222
"453",2015,129,"SD filtering","happy","Congruent",357.411764705882
"454",2015,129,"SD filtering","happy","Incongruent",369.705882352941
"455",2015,129,"SD filtering","sad","Congruent",374.526315789474
"456",2015,129,"SD filtering","sad","Incongruent",371.789473684211
"457",2015,129,"threshold","angry","Congruent",369.944444444444
"458",2015,129,"threshold","angry","Incongruent",378.722222222222
"459",2015,129,"threshold","happy","Congruent",357.411764705882
"460",2015,129,"threshold","happy","Incongruent",403
"461",2015,129,"threshold","sad","Congruent",379.166666666667
"462",2015,129,"threshold","sad","Incongruent",371.789473684211
"463",2015,129,"winsorizing","angry","Congruent",365.421052631579
"464",2015,129,"winsorizing","angry","Incongruent",378.722222222222
"465",2015,129,"winsorizing","happy","Congruent",357.411764705882
"466",2015,129,"winsorizing","happy","Incongruent",391.473684210526
"467",2015,129,"winsorizing","sad","Congruent",374.526315789474
"468",2015,129,"winsorizing","sad","Incongruent",371.789473684211
"469",2015,130,"SD filtering","angry","Congruent",363.894736842105
"470",2015,130,"SD filtering","angry","Incongruent",341.526315789474
"471",2015,130,"SD filtering","happy","Congruent",343.473684210526
