"felvetel.eve","Subject","trial","RT","type","label","Emotion"
2015,430,"X10",331,"LpLe","Congruent","sad"
2015,431,"X10",396,"LpLe","Congruent","sad"
2015,432,"X10",337,"LpLe","Congruent","sad"
2015,433,"X10",563,"LpLe","Congruent","sad"
2015,434,"X10",NA,"LpLe","Congruent","sad"
2015,435,"X10",NA,"LpLe","Congruent","sad"
2015,436,"X10",463,"LpLe","Congruent","sad"
2015,437,"X10",468,"LpLe","Congruent","sad"
2015,439,"X10",465,"LpLe","Congruent","sad"
2015,440,"X10",384,"LpLe","Congruent","sad"
2015,441,"X10",323,"LpLe","Congruent","sad"
2015,442,"X10",498,"LpLe","Congruent","sad"
2015,443,"X10",376,"LpLe","Congruent","sad"
2015,445,"X10",401,"LpLe","Congruent","sad"
2016,121,"X10",383,"LpLe","Congruent","sad"
2016,122,"X10",455,"LpLe","Congruent","sad"
2016,123,"X10",444,"LpLe","Congruent","sad"
2016,124,"X10",440,"LpLe","Congruent","sad"
2016,125,"X10",505,"LpLe","Congruent","sad"
2016,126,"X10",373,"LpLe","Congruent","sad"
2016,127,"X10",356,"LpLe","Congruent","sad"
2016,128,"X10",373,"LpLe","Congruent","sad"
2016,129,"X10",616,"LpLe","Congruent","sad"
2016,130,"X10",405,"LpLe","Congruent","sad"
2016,132,"X10",389,"LpLe","Congruent","sad"
2016,133,"X10",454,"LpLe","Congruent","sad"
2016,134,"X10",503,"LpLe","Congruent","sad"
2016,135,"X10",450,"LpLe","Congruent","sad"
2016,136,"X10",450,"LpLe","Congruent","sad"
2016,137,"X10",354,"LpLe","Congruent","sad"
2016,138,"X10",377,"LpLe","Congruent","sad"
2016,139,"X10",421,"LpLe","Congruent","sad"
2016,140,"X10",NA,"LpLe","Congruent","sad"
2016,142,"X10",387,"LpLe","Congruent","sad"
2016,143,"X10",399,"LpLe","Congruent","sad"
2016,144,"X10",484,"LpLe","Congruent","sad"
2016,145,"X10",504,"LpLe","Congruent","sad"
2016,146,"X10",324,"LpLe","Congruent","sad"
2016,147,"X10",540,"LpLe","Congruent","sad"
2016,500,"X10",329,"LpLe","Congruent","sad"
2016,501,"X10",350,"LpLe","Congruent","sad"
2016,502,"X10",430,"LpLe","Congruent","sad"
2016,503,"X10",327,"LpLe","Congruent","sad"
2016,504,"X10",379,"LpLe","Congruent","sad"
2016,505,"X10",372,"LpLe","Congruent","sad"
2016,506,"X10",338,"LpLe","Congruent","sad"
2016,507,"X10",483,"LpLe","Congruent","sad"
2016,508,"X10",337,"LpLe","Congruent","sad"
2016,509,"X10",436,"LpLe","Congruent","sad"
2016,510,"X10",410,"LpLe","Congruent","sad"
2016,511,"X10",561,"LpLe","Congruent","sad"
2016,512,"X10",438,"LpLe","Congruent","sad"
2016,513,"X10",344,"LpLe","Congruent","sad"
2016,514,"X10",356,"LpLe","Congruent","sad"
2016,515,"X10",525,"LpLe","Congruent","sad"
2016,516,"X10",423,"LpLe","Congruent","sad"
2016,517,"X10",380,"LpLe","Congruent","sad"
2016,518,"X10",549,"LpLe","Congruent","sad"
2016,519,"X10",383,"LpLe","Congruent","sad"
